"assists_name","assists_assists","assists_assist_points","assists_two_pt_assists","assists_three_pt_assists","assists_at_rim_assists","assists_short_mid_range_assists","assists_long_mid_range_assists","assists_corner3assists","assists_arc3assists","fouls_fouls","fouls_shooting_fouls","fouls_loose_ball_fouls","fouls_loose_ball_fouls_drawn","fouls_offensive_fouls","fouls_charge_fouls","fouls_offensive_fouls_drawn","fouls_charge_fouls_drawn","fouls_clear_path_fouls","fouls_transition_take_fouls","fouls_transition_take_fouls_drawn","fouls_defensive_3_seconds_violations","fouls_fouls_drawn","free_fta","free_technical_free_throw_trips","free_two_pt_shooting_fouls_drawn","free_x2pt_and_1_free_throw_trips","free_three_pt_shooting_fouls_drawn","free_x3pt_and_1_free_throw_trips","free_non_shooting_fouls_drawn","free_shooting_fouls_drawn_pct","free_two_pt_shooting_fouls_drawn_pct","free_three_pt_shooting_fouls_drawn_pct","misc_plus_minus","misc_on_off_rtg","misc_on_def_rtg","misc_first_chance_points","misc_three_pt_off_rebounded_pct","misc_at_rim_off_rebounded_pct","misc_short_mid_range_off_rebounded_pct","misc_long_mid_range_off_rebounded_pct","misc_blocks","misc_blocked2s","misc_blocked3s","misc_blocked_at_rim","misc_blocked_short_mid_range","misc_blocked_long_mid_range","misc_blocked_corner3","misc_blocked_arc3","misc_recovered_blocks","misc_blocks_recovered_pct","misc_steals","misc_lost_ball_steals","misc_bad_pass_steals","misc_defensive_goaltends","profile_height_in","profile_weight_lbs","rebounds_rebounds","rebounds_def_rebounds","rebounds_ft_def_rebounds","rebounds_def_ft_rebound_pct","rebounds_def_two_pt_rebounds","rebounds_def_two_pt_rebound_pct","rebounds_def_three_pt_rebounds","rebounds_def_three_pt_rebound_pct","rebounds_def_fg_rebound_pct","rebounds_off_rebounds","rebounds_ft_off_rebounds","rebounds_off_ft_rebound_pct","rebounds_off_two_pt_rebounds","rebounds_off_two_pt_rebound_pct","rebounds_off_three_pt_rebounds","rebounds_off_three_pt_rebound_pct","rebounds_off_fg_rebound_pct","rebounds_def_at_rim_rebound_pct","rebounds_def_short_mid_range_rebound_pct","rebounds_def_long_mid_range_rebound_pct","rebounds_def_arc3rebound_pct","rebounds_def_corner3rebound_pct","rebounds_off_at_rim_rebound_pct","rebounds_off_short_mid_range_rebound_pct","rebounds_off_long_mid_range_rebound_pct","rebounds_off_arc3rebound_pct","rebounds_off_corner3rebound_pct","rebounds_self_o_reb","rebounds_self_o_reb_pct","scoring_off_poss","scoring_points","scoring_fg2m","scoring_fg2a","scoring_fg2pct","scoring_fg3m","scoring_fg3a","scoring_fg3pct","scoring_non_heave_fg3pct","scoring_ft_points","scoring_pts_assisted2s","scoring_pts_unassisted2s","scoring_pts_assisted3s","scoring_pts_unassisted3s","scoring_assisted2s_pct","scoring_non_putbacks_assisted2s_pct","scoring_assisted3s_pct","scoring_fg3a_pct","scoring_shot_quality_avg","scoring_efg_pct","scoring_ts_pct","scoring_pts_putbacks","scoring_fg2a_blocked","scoring_fg2a_pct_blocked","scoring_fg3a_blocked","scoring_fg3a_pct_blocked","scoring_usage","second_second_chance_off_poss","second_second_chance_points","second_second_chance_points_pct","second_second_chance_fg2m","second_second_chance_fg2a","second_second_chance_fg2pct","second_second_chance_fg3m","second_second_chance_fg3a","second_second_chance_fg3pct","second_second_chance_ft_points","second_second_chance_efg_pct","second_second_chance_ts_pct","second_second_chance_shot_quality_avg","second_second_chance_at_rim_fgm","second_second_chance_at_rim_fga","second_second_chance_at_rim_frequency","second_second_chance_at_rim_accuracy","second_second_chance_at_rim_pct_assisted","second_second_chance_corner3fgm","second_second_chance_corner3fga","second_second_chance_corner3frequency","second_second_chance_corner3accuracy","second_second_chance_corner3pct_assisted","second_second_chance_arc3fgm","second_second_chance_arc3fga","second_second_chance_arc3frequency","second_second_chance_arc3accuracy","second_second_chance_arc3pct_assisted","second_second_chance_turnovers","shot_shot_quality_avg","shot_at_rim_fg3a_frequency","shot_avg2pt_shot_distance","shot_avg3pt_shot_distance","shot_at_rim_fgm","shot_at_rim_fga","shot_at_rim_frequency","shot_at_rim_accuracy","shot_unblocked_at_rim_accuracy","shot_at_rim_pct_assisted","shot_at_rim_pct_blocked","shot_short_mid_range_fgm","shot_short_mid_range_fga","shot_short_mid_range_frequency","shot_short_mid_range_accuracy","shot_unblocked_short_mid_range_accuracy","shot_short_mid_range_pct_assisted","shot_short_mid_range_pct_blocked","shot_long_mid_range_fgm","shot_long_mid_range_fga","shot_long_mid_range_frequency","shot_long_mid_range_accuracy","shot_unblocked_long_mid_range_accuracy","shot_long_mid_range_pct_assisted","shot_long_mid_range_pct_blocked","shot_corner3fgm","shot_corner3fga","shot_corner3frequency","shot_corner3accuracy","shot_unblocked_corner3accuracy","shot_corner3pct_assisted","shot_corner3pct_blocked","shot_arc3fgm","shot_arc3fga","shot_arc3frequency","shot_arc3accuracy","shot_unblocked_arc3accuracy","shot_arc3pct_assisted","shot_arc3pct_blocked","shot_non_heave_arc3fgm","shot_non_heave_arc3fga","shot_non_heave_arc3accuracy","shot_heave_attempts","shot_heave_makes","turnovers_turnovers","turnovers_live_ball_turnovers","turnovers_dead_ball_turnovers","turnovers_live_ball_turnover_pct","turnovers_lost_ball_turnovers","turnovers_lost_ball_out_of_bounds_turnovers","turnovers_bad_pass_turnovers","turnovers_bad_pass_out_of_bounds_turnovers","turnovers_travels","turnovers_x3second_violations","turnovers_step_out_of_bounds_turnovers","turnovers_offensive_goaltends","turnovers_height_in","turnovers_weight_lbs"
"Tyler Herro",1026,2487,591,435,385,165,41,158,277,368,195,19,14,26,11,20,1,0,0,1,0,543,715,36,258,58,40,9,63,0.06877193,0.106435643564356,0.0194489465153971,372,114.604779965083,112.670530001207,4516,0.235680751173709,0.371428571428571,0.290322580645161,0.245222929936306,46,39,7,19,15,5,4,3,25,0.543478260869565,177,48,129,6,77,195,1297,1187,81,0.197080291970803,434,0.116510067114094,672,0.169354838709677,0.143767060964513,110,0,0,64,0.0158651462568171,46,0.0127813281467074,0.0144111096554435,0.089162183,0.108419838523645,0.188405797101449,0.170630816959669,0.165885660731022,0.0115473441108545,0.016776817,0.0208333333333333,0.0111068556108771,0.017206478,40,0.0204290091930541,16611,4937,1093,2224,0.491456834532374,709,1824,0.388706140350877,0.39149641082275,624,846,1340,1563,564,0.387008234217749,0.393488372093023,0.734837799717913,0.450592885375494,0.498789275074479,0.532732213438735,0.564947029018885,36,201,0.090377698,28,0.0153508771929825,26.4020197679416,1746,421,0.085274458,97,165,0.587878787878788,58,151,0.384105960264901,53,0.582278481012658,0.617302052785924,0.496190841584158,35,49,0.15506329113924,0.714285714285714,0.485714285714286,17,43,0.136075949367089,0.395348837209302,0.882352941176471,41,108,0.341772151898734,0.37962962962963,0.707317073170732,29,0.498789275074479,0.609683794466403,9.1,26.1444627192982,397,644,0.159090909090909,0.616459627329193,0.711469534050179,0.488664987405542,0.133540372670807,475,1039,0.256669960474308,0.457170356111646,0.503711559,0.336842105263158,0.092396535,221,541,0.133646245059289,0.408502772643253,0.423371647509579,0.312217194570136,0.035120148,139,316,0.078063241,0.439873418,0.451298701298701,0.942446043165468,0.025316456,570,1508,0.372529644268775,0.377984084880637,0.383064516129032,0.684210526315789,0.013262599469496,570,1495,0.381270903010033,13,0,581,364,217,0.626506024096386,125,29,239,89,33,0,21,0,77,195
"Mike Conley",1673,4035,984,689,681,258,45,179,510,539,225,19,15,9,4,111,10,1,1,0,0,620,616,26,194,40,26,4,86,0.073162621,0.140885984023239,0.0159509202453988,1301,118.007915567282,110.704174447322,3386,0.240740740740741,0.428571428571429,0.354679802955665,0.272727272727273,65,60,5,25,29,6,2,3,32,0.492307692307692,357,162,195,0,73,175,850,688,15,0.043352601,350,0.075921909,323,0.093514765,0.083457341,162,1,0.002512563,73,0.0200549450549451,88,0.022211005,0.021178637,0.078266946,0.0708278,0.084782609,0.09010989,0.106353591,0.022342065,0.0200739566825145,0.0133630289532294,0.0206779661016949,0.026679842,41,0.0280054644808743,16676,3652,577,1223,0.471790678659035,659,1608,0.409825870646766,0.411507191994997,521,382,772,1329,648,0.331022530329289,0.335676626,0.672230652503794,0.567997174143412,0.505730804679192,0.552984811020841,0.586808923375364,16,74,0.06050695,12,0.007462687,18.7900619801875,1916,266,0.072836802,44,95,0.463157894736842,51,146,0.349315068493151,25,0.5,0.52191235059761,0.513062080536913,14,29,0.120331950207469,0.482758620689655,0.357142857142857,24,51,0.211618257261411,0.470588235294118,1,27,95,0.394190871369295,0.284210526315789,0.740740740740741,25,0.505730804679192,0.691628399858707,7.93205233033524,25.4447139303483,203,350,0.123631225715295,0.58,0.622699386503067,0.369458128078818,0.068571429,319,735,0.259625574002119,0.434013605442177,0.463662790697674,0.307210031347962,0.063945578,55,138,0.0487460261391734,0.398550724637681,0.407407407407407,0.327272727272727,0.0217391304347826,147,320,0.113034263511127,0.459375,0.466666666666667,0.965986394557823,0.015625,512,1288,0.454962910632285,0.397515527950311,0.399687743950039,0.587890625,0.005434783,511,1278,0.399843505477308,9,1,454,326,128,0.718061674008811,62,24,264,67,9,0,6,0,73,175
"Ivica Zubac",438,1058,256,182,115,74,67,53,129,841,551,53,132,96,15,17,1,1,2,0,38,805,875,0,399,63,0,0,70,0.157582938388626,0.157957244655582,0,276,115.084981552047,113.614881240911,2602,0,0.353333333333333,0.24375,0.166666666666667,346,339,7,219,116,4,3,4,217,0.627167630057804,124,24,100,7,85,240,2849,1912,134,0.385057471264368,1008,0.234910277324633,770,0.211654755360088,0.224240131164081,937,0,0,655,0.151901669758813,282,0.086849399,0.123958195528509,0.208029197080292,0.254997562164798,0.229885057471264,0.215373715905066,0.198773006134969,0.202865761689291,0.157119476268412,0.084995663,0.07968621,0.107878787878788,86,0.144053601340034,16533,3416,1394,2190,0.636529680365297,1,6,0.166666666666667,0.2,625,2050,738,3,0,0.735294117647059,0.898334794040315,1,0.00273224,0.556913719234275,0.635473588342441,0.656418139892391,506,196,0.089497717,0,0,16.3591371241057,1791,814,0.238290398126464,336,589,0.570458404074703,0,0,0,142,0.570458404074703,0.592430858806405,0.60594211663067,295,512,0.869269949066214,0.576171875,0.125423728813559,0,0,0,0,0,0,0,0,0,0,57,0.556913719234275,0.664845173041894,3.37639269406393,40.0833333333333,1001,1454,0.662112932604736,0.688445667,0.756042296072508,0.71028971028971,0.089408528,385,710,0.323315118397086,0.542253521126761,0.597826086956522,0.805194805194805,0.092957746,8,26,0.01183970856102,0.307692307692308,0.307692307692308,0.5,0,0,0,0,0,0,0,0,1,6,0.00273224,0.166666666666667,0.166666666666667,1,0,1,5,0.2,1,0,441,208,233,0.471655328798186,104,14,104,32,29,26,7,8,85,240
"Franz Wagner",925,2209,566,359,425,94,47,119,240,573,263,24,23,33,19,93,9,1,5,1,1,862,995,32,435,93,9,0,83,0.110640418639422,0.151041666666667,0.007943513,153,112.279442550392,111.424296828247,4260,0.239280774550484,0.392197125256673,0.334470989761092,0.220779220779221,91,86,5,37,44,5,3,2,51,0.56043956043956,264,98,166,1,82,220,1206,957,43,0.107769423558897,505,0.125684420109507,409,0.111535314971366,0.11893298633702,249,6,0.0140845070422535,127,0.03047025,116,0.032749859,0.03151751,0.113652609006433,0.134561697375768,0.126811594202899,0.106961566352429,0.125412541254125,0.037128713,0.0311816192560175,0.0138121546961326,0.033259424,0.031100478,63,0.0393013100436681,16719,4713,1375,2538,0.541765169424744,371,1124,0.330071174377224,0.332434860736748,850,1302,1448,867,246,0.473454545454545,0.489105935386927,0.778975741239892,0.306936100491535,0.524379693066594,0.527444019661387,0.572387695,88,265,0.10441292356186,11,0.009786477,24.220407297412,1877,453,0.096117123,117,221,0.529411764705882,43,123,0.349593495934959,90,0.527616279069767,0.573979591836735,0.523026326530612,86,141,0.409883720930233,0.609929078014184,0.290697674418605,7,24,0.069767442,0.291666666666667,0.714285714285714,36,99,0.287790697674419,0.363636363636364,0.75,27,0.524379693066594,0.690606226,4.90185185185185,26.2407473309609,912,1405,0.383670125614418,0.649110320284698,0.723235527359239,0.523026315789474,0.102491103202847,416,1005,0.274440196613872,0.413930348258706,0.468996617812852,0.367788461538462,0.117412935323383,47,128,0.0349535772801748,0.3671875,0.376,0.446808510638298,0.0234375,75,188,0.051338067,0.398936170212766,0.403225806451613,0.906666666666667,0.0106382978723404,296,936,0.255598034,0.316239316239316,0.319309600862999,0.746621621621622,0.009615385,295,924,0.319264069264069,11,1,484,288,196,0.59504132231405,116,42,172,46,32,0,12,1,82,220
"Brandon Ingram",1321,3204,759,562,548,165,46,199,363,549,277,20,23,60,42,27,8,0,0,2,6,1050,1276,56,515,122,30,5,121,0.116090482287665,0.145480225988701,0.02530541,309,116.188586204823,114.543920954332,5070,0.246696035242291,0.422413793103448,0.283870967741935,0.249624060150376,132,126,6,70,52,4,3,3,76,0.575757575757576,174,49,125,7,80,190,1289,1137,32,0.085333333,390,0.102415966386555,715,0.183710174717369,0.143506493506493,152,1,0.002272727,101,0.0233688107357705,50,0.0157878118092832,0.020162906,0.07743857,0.090198437,0.169576059850374,0.185991957104558,0.176211453744493,0.025641026,0.0220338983050847,0.022308438,0.0160202360876897,0.01509434,68,0.033949076,16629,5540,1615,3147,0.513187162376867,410,1122,0.36541889483066,0.367475292003594,1080,1272,1958,1002,228,0.393808049535604,0.401515151515151,0.814634146341463,0.262825017568517,0.482608914728682,0.522370578589834,0.57175540765391,62,179,0.056879568,21,0.018716578,29.1606867591559,1908,470,0.084837545,125,261,0.478927203065134,45,126,0.357142857142857,85,0.497416020671835,0.543023255813953,0.480312845849802,50,74,0.191214470284238,0.675675675675676,0.24,3,15,0.03875969,0.2,0.666666666666667,42,111,0.286821705426357,0.378378378378378,0.880952380952381,40,0.482608914728682,0.434059498711642,10.9170956466476,25.7542780748663,497,731,0.171234481143125,0.679890561,0.753030303,0.456740442655936,0.097127223,546,1170,0.274068868587491,0.466666666666667,0.503690037,0.30952380952381,0.073504274,572,1246,0.291871632700867,0.459069020866774,0.467320261437909,0.41958041958042,0.017656501,54,158,0.03701101,0.341772151898734,0.343949044585987,0.981481481481482,0.006329114,356,964,0.225814007964394,0.369294605809129,0.377118644067797,0.789325842696629,0.020746888,355,954,0.372117400419287,9,1,684,408,276,0.596491228070175,178,41,230,78,30,1,15,1,80,190
"John Collins",393,945,234,159,148,64,22,31,128,832,498,45,63,59,17,20,45,1,2,2,6,818,813,4,379,108,3,0,77,0.111793971319871,0.152269987946967,0.003232759,-156,116.757687284815,117.704684438639,3659,0.212947189097104,0.378205128205128,0.316628701594533,0.148760330578512,271,267,4,161,103,3,1,3,167,0.616236162361624,173,68,105,24,81,226,2109,1611,172,0.466124661246612,758,0.180519171231246,681,0.186677631578947,0.183382184274245,498,12,0.0344827586206897,328,0.076155096,158,0.0448863636363636,0.062092756,0.166232073011734,0.181769722814499,0.20532319391635,0.197602615328732,0.153072625698324,0.093006993,0.079222011,0.0364109232769831,0.0468809073724008,0.0388571428571429,68,0.055646481,16846,4340,1338,2218,0.603246167718665,333,925,0.36,0.36038961038961,665,1990,686,978,21,0.743647234678625,0.854810996563574,0.978978979,0.294304804327076,0.547367568,0.584632516703786,0.620492272467086,348,230,0.103697024346258,11,0.0118918918918919,20.1502269052214,1997,681,0.156912442396313,246,388,0.634020619,28,75,0.373333333333333,105,0.622030237580994,0.662451361867704,0.597664868804665,215,312,0.673866091,0.689102564102564,0.176744186046512,5,26,0.0561555075593952,0.192307692307692,0.8,23,49,0.105831533477322,0.469387755102041,0.956521739130435,31,0.547367568,0.669424117,5.47285843101894,24.7712432432432,867,1179,0.375119312758511,0.735368956743003,0.808014911463187,0.737024221453287,0.089906701,385,830,0.264078905504295,0.463855422,0.539971949509116,0.758441558441558,0.140963855421687,86,209,0.066496977,0.411483253588517,0.425742574257426,0.744186046511628,0.033492823,121,342,0.108813235762011,0.353801169590643,0.365558912386707,0.975206611570248,0.032163743,212,583,0.185491568565065,0.363636363636364,0.363636363636364,0.981132075471698,0,212,582,0.36426116838488,1,0,373,187,186,0.501340482573727,88,27,99,34,36,3,1,3,81,226
"Deandre Ayton",409,1002,225,184,100,72,53,54,130,676,433,39,34,95,8,9,0,0,0,0,27,556,615,0,317,89,0,0,35,0.091884058,0.094401429,0,162,114.846395742622,114.350783432528,3528,0.194029850746269,0.421221864951768,0.199066874027994,0.130268199233716,229,224,5,103,116,5,1,4,133,0.580786026200873,189,43,146,12,85,252,2766,1993,175,0.47554347826087,988,0.240623477837311,830,0.229218447942557,0.235278892196195,773,6,0.0216606498194946,544,0.121509939691758,223,0.0709062,0.100629755969562,0.232238349885409,0.240297713981925,0.253275109170306,0.23558196434813,0.205263157894737,0.177433247200689,0.126082771896054,0.061389337641357,0.06460177,0.08700565,105,0.094170404,16536,4359,1909,3130,0.609904153354633,24,92,0.260869565217391,0.263736263736264,469,2914,904,69,3,0.763226820324777,0.890042761148442,0.958333333333333,0.0285536933581626,0.51682485253027,0.603662321539416,0.625394548063128,544,170,0.0543130990415335,0,0,21.1783096162139,1778,831,0.1906400550585,372,589,0.631578947,1,3,0.333333333333333,84,0.630912162162162,0.650234741784038,0.570742214912281,286,405,0.684121621621622,0.706172839506173,0.111888111888112,0,0,0,0,0,1,3,0.005067568,0.333333333333333,0,57,0.51682485253027,0.437616387337058,6.87376996805112,25.8717391304348,1004,1318,0.409062693978895,0.761760242792109,0.813614263,0.709163346613546,0.063732929,673,1317,0.408752327746741,0.511009870918755,0.543179984,0.796433878157504,0.059225513,232,495,0.153631284916201,0.468686868686869,0.476386036960986,0.900862068965517,0.016161616,2,14,0.004345127,0.142857142857143,0.142857142857143,1,0,22,78,0.0242085661080074,0.282051282051282,0.282051282051282,0.954545454545455,0,22,77,0.285714285714286,1,0,444,225,219,0.506756756756757,149,17,76,22,36,19,7,11,85,252
"Deni Avdija",801,1882,521,280,353,126,42,83,197,775,444,33,27,21,31,27,1,1,2,5,9,614,704,4,336,94,4,1,56,0.124087591240876,0.191890348372359,0.004044489,-657,112.587825470863,115.858099377423,2828,0.205287713841369,0.409556313993174,0.294642857142857,0.142857142857143,144,144,0,70,72,2,0,0,74,0.513888888888889,240,73,167,5,81,240,1854,1592,135,0.318396226415094,773,0.176403468735737,684,0.193165772380683,0.18389498927174,262,4,0.009174312,147,0.034966698,111,0.03222061,0.0337298993332462,0.17007874015748,0.176954732510288,0.183783783783784,0.195588235294118,0.185140073081608,0.0496614,0.032819493,0.0173611111111111,0.0306934444865479,0.037220844,61,0.052813853,16937,3109,807,1509,0.534791252485089,324,986,0.328600405679513,0.330612244897959,523,920,694,882,90,0.57001239157373,0.612516644474035,0.907407407407407,0.395190381,0.534164363198071,0.518236472945892,0.555436337625179,112,178,0.117958913187541,6,0.006085193,17.2048141667992,1679,281,0.09038276,91,190,0.478947368421053,20,81,0.246913580246914,39,0.446494464944649,0.479522184300341,0.534422316384181,78,141,0.520295202952029,0.553191489361702,0.179487179487179,7,17,0.062730627,0.411764705882353,1,13,64,0.236162361623616,0.203125,0.923076923076923,22,0.534164363198071,0.748296593186373,4.81259111994699,25.7494929006085,588,881,0.35310621242485,0.667423382519864,0.730434782608696,0.57312925170068,0.086265607,184,527,0.21122244488978,0.34914611,0.432941176470588,0.548913043478261,0.193548387096774,35,101,0.0404809619238477,0.346534653465347,0.346534653465347,0.628571428571429,0,90,264,0.105811623246493,0.340909090909091,0.343511450381679,1,0.007575758,234,722,0.28937875751503,0.32409972299169,0.325905292479109,0.871794871794872,0.005540166,234,716,0.326815642458101,6,0,451,287,164,0.636363636363636,94,19,193,56,27,0,4,1,81,240
"Isaac Okoro",506,1223,295,211,189,82,24,59,152,690,321,46,29,17,17,47,19,1,1,1,1,469,569,0,298,73,1,0,20,0.139458955223881,0.223723723723724,0.001231527,-74,114.011480772792,113.155165049728,2232,0.250972762645914,0.401812688821752,0.356643356643357,0.235294117647059,119,113,6,59,45,9,1,5,54,0.453781513,246,61,185,2,77,225,849,571,15,0.043352601,280,0.066969624,276,0.082609997,0.073916512,278,8,0.017353579,111,0.027536591416522,159,0.047547847,0.036610169,0.065972222,0.061602871,0.080665813,0.084536082,0.077510917,0.0350148367952522,0.0161662817551963,0.039087948,0.053311793,0.031105991,35,0.040650407,16201,2497,609,1107,0.550135501355014,288,811,0.355117139334155,0.355555555555556,415,882,336,816,48,0.724137931034483,0.75513698630137,0.944444444444444,0.422836287799791,0.597636332811685,0.542752867570386,0.576940850277264,50,144,0.130081300813008,3,0.003699137,13.2098224073668,1765,265,0.106127352823388,71,141,0.50354609929078,23,68,0.338235294117647,54,0.504784688995215,0.543032786885246,0.585113008130081,65,115,0.550239234449761,0.565217391304348,0.461538461538462,16,42,0.200956937799043,0.380952380952381,0.9375,7,26,0.124401913875598,0.269230769230769,0.714285714285714,24,0.597636332811685,0.868613138686131,2.96657633242999,24.3235511713933,524,855,0.44577685088634,0.612865497076023,0.698666666666667,0.729007633587786,0.12280701754386,78,225,0.117309697601668,0.346666666666667,0.419354838709677,0.67948717948718,0.173333333333333,7,27,0.0140771637122002,0.259259259259259,0.259259259259259,0.857142857142857,0,197,527,0.274765380604797,0.373814041745731,0.375954198473282,0.989847715736041,0.0056926,91,284,0.148070907194995,0.320422535211268,0.320422535211268,0.846153846153846,0,91,283,0.321554770318021,1,0,247,127,120,0.51417004048583,55,21,72,30,11,0,20,0,77,225
"Kevin Durant",1199,2820,777,422,553,167,57,126,296,437,230,15,51,40,15,22,8,0,1,3,6,1217,1479,43,537,143,46,12,198,0.124705378187272,0.156559766763848,0.036378335,1135,119.693536847126,112.892650652679,5870,0.222381635581062,0.353383458646617,0.278443113772455,0.21244635193133,274,245,29,119,120,6,9,20,162,0.591240875912409,183,62,121,4,83,240,1549,1446,80,0.201005025125628,729,0.165006790402897,637,0.16860772895712,0.166666666666667,103,1,0.002932551,52,0.013684211,50,0.015852885,0.0146678170836928,0.137339055793991,0.178496868475992,0.187141216991963,0.167666784327568,0.171428571428571,0.019574468,0.0111306385471588,0.0108932461873638,0.016462642,0.0140127388535032,29,0.0159340659340659,16772,6319,1760,3036,0.579710144927536,496,1204,0.411960132890365,0.411960132890365,1311,1726,1794,1038,450,0.490340909090909,0.49626222,0.69758064516129,0.283962264150943,0.488762703,0.590566038,0.645499383477189,42,135,0.0444664031620553,9,0.007475083,30.3159600324062,1554,449,0.071055547,124,204,0.607843137254902,40,89,0.449438202,81,0.627986348122867,0.674698795180723,0.486310628019324,39,47,0.160409556313993,0.829787234042553,0.487179487179487,7,12,0.0409556313993174,0.583333333333333,1,33,77,0.262798634812287,0.428571428571429,0.878787878787879,31,0.488762703,0.422405660377358,10.8352108036891,25.7333887043189,454,587,0.138443396226415,0.773424190800681,0.822463768,0.616740088105727,0.0596252129471891,732,1402,0.330660377358491,0.522111269614836,0.552870091,0.418032786885246,0.055634807,574,1047,0.246933962264151,0.548233046800382,0.56,0.482578397212544,0.0210124164278892,67,135,0.0318396226415094,0.496296296296296,0.503759398496241,0.985074626865672,0.0148148148148148,429,1069,0.252122642,0.401309635173059,0.403954802,0.652680652680653,0.006548176,429,1069,0.401309635173059,0,0,754,510,244,0.676392572944297,186,58,324,78,20,0,25,0,83,240
"Jalen Green",811,1902,531,280,360,142,29,69,211,390,197,6,11,20,23,37,6,0,1,3,0,857,1160,54,493,111,25,8,86,0.116798196166855,0.188744257274119,0.013713658804169,-877,112.449440875565,118.235610543303,4532,0.273286467,0.380434782608696,0.382978723404255,0.237458193979933,71,61,10,31,26,4,3,7,45,0.633802816901408,195,70,125,8,76,186,1046,916,31,0.070776256,368,0.093997446,517,0.135659931776437,0.114548278539995,130,3,0.006289308,76,0.0180394018514123,51,0.0136876006441224,0.0159969769492379,0.074047955,0.088446656,0.149709302325581,0.142070863433093,0.115044247787611,0.0181286549707602,0.021264689423615,0.009776536,0.0145583953413135,0.009448819,46,0.0236625514403292,16812,4919,1084,2230,0.48609865470852,607,1806,0.336101882613511,0.338161559888579,930,786,1382,1065,756,0.362546125461255,0.370056497175141,0.584843492586491,0.447472745292369,0.525525776783495,0.494177403369673,0.53959301039593,44,312,0.139910313901345,22,0.0121816168327796,26.6565714584095,2053,387,0.078674527,84,163,0.515337423312883,55,157,0.35031847133758,54,0.5203125,0.557803468208092,0.505887009803922,53,87,0.271875,0.609195402298851,0.320754716981132,11,33,0.103125,0.333333333333333,0.818181818181818,44,124,0.3875,0.354838709677419,0.795454545454545,36,0.525525776783495,0.738850346878097,6.97856502242152,26.2370431893688,712,1176,0.291377601585728,0.605442176870748,0.707753479125249,0.394662921348315,0.144557823129252,178,556,0.137760158572844,0.320143884892086,0.423809523809524,0.280898876404494,0.244604316546763,194,498,0.123389494549058,0.389558232931727,0.394308943089431,0.319587628865979,0.0120481927710843,80,226,0.055996036,0.353982300884956,0.361990950226244,0.8625,0.0221238938053097,527,1580,0.391476709613479,0.333544303797468,0.337172104926424,0.5426944971537,0.0107594936708861,527,1569,0.335882727852135,11,0,589,383,206,0.650254668930391,173,60,210,50,31,0,12,2,76,186
"Clint Capela",325,787,188,137,89,67,32,55,82,664,345,123,58,61,8,7,52,0,1,0,11,650,783,0,394,85,0,0,40,0.133288227334235,0.133423636979343,0,353,117.860126506743,115.347564964025,2578,0,0.444909344490934,0.369426751592357,0.125,430,423,7,303,117,3,0,7,280,0.651162790697674,203,73,130,41,82,256,3506,2244,132,0.413793103448276,1207,0.279010633379565,905,0.253076063,0.267274107820805,1262,13,0.0314769975786925,907,0.194969905417025,342,0.099505383,0.154407219681048,0.233104238258877,0.310580205,0.309002433090024,0.259119969913501,0.235550708833152,0.247474747474747,0.183924349881797,0.101986754966887,0.092397661,0.120412844036697,211,0.252997601918465,16758,3645,1599,2644,0.604765506807867,0,3,0,0,447,2282,916,0,0,0.713570981863665,0.929153094462541,0,0.001133359,0.616761497730711,0.604080090668682,0.608311081441923,742,207,0.078290469,0,0,16.8685927306617,2127,1067,0.292729766803841,474,912,0.519736842105263,0,0,0,119,0.519736842105263,0.531374501992032,0.608685185185185,436,808,0.885964912280702,0.53960396039604,0.128440366972477,0,0,0,0,0,0,0,0,0,0,44,0.616761497730711,0.79637325273895,2.2947049924357,58.5,1384,2105,0.795239894219872,0.657482185273159,0.707204905467552,0.70014450867052,0.070308789,213,529,0.19984888553079,0.402646502835539,0.452229299363057,0.802816901408451,0.109640831758034,2,10,0.003777862,0.2,0.222222222222222,0.5,0.1,0,0,0,0,0,0,0,0,3,0.001133359,0,0,0,0,0,0,0,3,0,264,107,157,0.40530303030303,53,16,54,20,24,12,8,8,82,256
